run_id,trial,period_us,period_ms,quota_us,is_unlimited,workers,pattern,target_rate,achieved_rps,total_scheduled,total_completed,total_success,total_503,total_errors,client_dropped,missed_arrivals,e2e_p50,e2e_p95,e2e_p99,e2e_max,service_p50,service_p95,service_p99,service_max,dispatch_lag_mean,dispatch_lag_p99,delta_usage_usec,delta_nr_periods,delta_nr_throttled,delta_throttled_usec,throttling_pct,cpu_usage_cores,mean_temp_c,max_temp_c,core01_util,core24_util
p250_w4_high_bursty_rep5,5,250000,250.0,125000,False,4,bursty,80.0,80.0124461560338,1600,1600,1600,0,0,0,0,4.871103,6.018114,6.635857,9.998307,4.164484,5.188724,5.915236,8.872377,0.558652613125,1.071468,6870512,80,0,0,0.0,0.34339432405857107,44.21,47.0,9.89,21.65
p50_w4_mod_bursty_rep2,2,50000,50.0,25000,False,4,bursty,50.0,49.96976224644926,999,999,999,0,0,0,0,5.712381,7.136955,7.578924,8.126829,5.075051,6.365129,7.063498,7.911156,0.5768914144144144,1.070221,5023027,400,0,0,0.0,0.2511038999757684,45.0,48.0,11.13,17.37
test_pipeline_001,1,100000,100.0,50000,False,1,steady,50.0,50.19349164384021,250,250,250,0,0,0,0,5.596462,6.520881,8.312166,9.23276,5.1277,5.778558,6.451438,7.757423,0.58513824,1.153547,1193037,50,0,0,0.0,0.23896382132608038,0.0,0.0,0.0,0.0
test_pipeline_002,1,100000,100.0,50000,False,1,steady,50.0,50.1973911611049,250,250,250,0,0,0,0,5.501905,6.327634,6.975095,9.280924,5.049821,5.71373,6.387378,7.484292,0.56593094,1.084404,1178477,50,0,0,0.0,0.23611417105488056,48.25,49.0,16.54,22.0
