period_us,workers,load,pattern,n,mean_p99_ms,median_p99_ms,min_p99_ms,max_p99_ms,sd_p99_ms,mean_p50_ms,mean_throttle_fraction,mean_cpu_cores,mean_successful_rps,total_scheduled,total_errors,total_rejected,cv_p99
50000,1,moderate,steady,5,6.581756,6.569497,6.561195,6.632281,0.02973066363201492,5.815658600000001,0.0,0.32803119070988246,66.5993319152711,19980,0,0,0.004517132454016058
50000,2,high,bursty,5,1246.5124276,1245.665562,1242.380628,1250.43535,3.136906931723468,748.3554586,0.7044115521378898,0.43598507148247484,95.68285859502284,33965,0,4695,0.00251654685686783
50000,2,high,steady,5,6.9706922,6.994392,6.354242,7.39226,0.4023966965162612,5.0237738,0.30133333333333334,0.48815053150469695,113.2147875312913,33965,0,0,0.05772693514085462
50000,2,moderate,bursty,5,6.515528600000001,6.520049,6.477912,6.563078,0.037567089736896105,5.6891312,0.010498057174576742,0.3231332402830577,66.5985380172933,19980,0,0,0.005765777735500402
50000,2,moderate,steady,5,6.610016,6.611709,6.602941,6.615673,0.00499354132855646,5.8278334,0.0,0.3284600688291311,66.59912743915054,19980,0,0,0.0007554507172987872
50000,4,high,bursty,5,1382.6528644,1381.703037,1381.248823,1384.647318,1.7253128740235575,781.4485712,0.7097348272642391,0.4372553546509435,96.0764779516002,33965,0,4563,0.001247827938918171
50000,4,high,steady,5,6.8781802,6.898633,6.760913,6.947612,0.07361967778861842,5.0184654,0.2979548986955315,0.48843081714575165,113.2150538867177,33965,0,0,0.010703365664746384
50000,4,moderate,bursty,5,6.5114456,6.518798,6.463791,6.563756,0.039740555145845916,5.6645594,0.00749819594782126,0.32276224418258315,66.59808553408921,19980,0,0,0.00610318469770306
50000,4,moderate,steady,5,6.628299800000001,6.630087,6.595798,6.663001,0.025337819414858933,5.8254532,0.0,0.32833270264904263,66.5990322760121,19980,0,0,0.003822672507187881
100000,1,high,bursty,5,828.7628354000001,838.295018,801.851931,849.828281,20.04143379869305,305.9447164,0.6166979949874687,0.4181077813921526,111.67656910370351,33965,0,0,0.024182351020868482
100000,1,high,steady,5,6.05989,6.066323,6.018522,6.103226,0.03811254975070562,5.0168566,0.16460843039378814,0.4886964122213337,113.21494903340192,33965,0,0,0.006289313791290867
100000,1,moderate,bursty,5,6.5266893999999995,6.51028,6.468369,6.58097,0.05085338882316495,5.6942324,0.002,0.3232447696549695,66.59808033741406,19980,0,0,0.007791605468948002
100000,1,moderate,steady,5,6.612222,6.601416,6.56595,6.700365,0.05381161887083482,5.8358848000000005,0.0,0.3285393754309819,66.5993056173144,19980,0,0,0.008138205110299506
100000,2,high,bursty,5,2500.3259461999996,2823.794443,1082.118007,3903.515237,1353.242060298341,390.91792560000005,0.6519218241042346,0.4253291257281907,105.94492054222023,33965,9,1611,0.5412262598622395
