period_us,workers,load,pattern,raw_geomean_p99_ms,standardized_geomean_p99_ms
0,1,high,bursty,6.461328261334521,6.452268634698587
0,1,high,steady,5.9275034924943375,5.974595466342531
0,1,moderate,bursty,6.536776041262885,6.462604955693788
0,1,moderate,steady,6.6052436680401785,6.693955532963965
0,2,high,bursty,6.451666623483261,6.526013844681592
0,2,high,steady,5.934055176855591,5.921012750131116
0,2,moderate,bursty,6.505007534235527,6.693702864758883
0,2,moderate,steady,6.605300869388019,6.631496762506353
0,4,high,bursty,6.459790656277507,6.461023223291833
0,4,high,steady,5.9428145717586895,5.878584332709951
0,4,moderate,bursty,6.513652973602714,6.5544502323136875
0,4,moderate,steady,6.620401619739393,6.651403694270526
10000,1,high,bursty,1074.4220121869564,1058.9297692564999
10000,1,high,steady,20.66683577762381,20.601408642343078
10000,1,moderate,bursty,6.610024921370512,6.6705251259741205
10000,1,moderate,steady,6.605187264796903,6.505098367870295
10000,2,high,bursty,1306.4497539019649,1285.7154291074926
10000,2,high,steady,190.28048133484288,191.19676494354462
10000,2,moderate,bursty,14.373804388146842,14.441223490657237
10000,2,moderate,steady,6.627645437151665,6.590630313951741
10000,4,high,bursty,1246.0238892953225,1251.4482069156018
10000,4,high,steady,265.50278230676065,270.4559290821515
10000,4,moderate,bursty,6.638191766573503,6.67805306397589
10000,4,moderate,steady,6.596404239529152,6.569189276715069
50000,1,high,bursty,1005.963168806376,990.0275227851819
50000,1,high,steady,7.349534498435706,7.350829174397782
50000,1,moderate,bursty,6.551368716201672,6.587598267701261
50000,1,moderate,steady,6.581702449880247,6.530321615303078
50000,2,high,bursty,1246.509269852969,1226.9067610286486
50000,2,high,steady,6.961188215052536,6.937881434307506
50000,2,moderate,bursty,6.515441978890952,6.650607339199859
50000,2,moderate,steady,6.610014490783746,6.542797452432052
50000,4,high,bursty,1382.6520034866805,1390.7503028795118
50000,4,high,steady,6.877863334568671,6.829589871488975
50000,4,moderate,bursty,6.511348602005581,6.5282109521958445
50000,4,moderate,steady,6.6282610649939375,6.601610013526385
100000,1,high,bursty,828.5678435144478,835.1876874739012
100000,1,high,steady,6.059794088414136,6.135668619341062
100000,1,moderate,bursty,6.5265310101185525,6.5171584455007165
100000,1,moderate,steady,6.612047622297376,6.541468112914889
100000,2,high,bursty,2156.260288261187,2171.6431967197423
100000,2,high,steady,6.087790955203885,6.135137901590655
100000,2,moderate,bursty,6.526970456732111,6.5702103366065865
100000,2,moderate,steady,6.571684555944441,6.518880712557677
100000,4,high,bursty,4302.486777080851,4327.571373049141
100000,4,high,steady,5.983868071294443,5.9111697882288725
100000,4,moderate,bursty,6.526306163137399,6.5035794158867715
100000,4,moderate,steady,6.622404230885199,6.5360192113520945
250000,1,high,bursty,478.6593932026122,476.3911135468976
250000,1,high,steady,5.971715999105764,5.9759505124659436
250000,1,moderate,bursty,6.501795645474694,6.578410492064866
250000,1,moderate,steady,6.583096430237455,6.593194133937969
250000,2,high,bursty,722.3282984787663,715.2259548050458
250000,2,high,steady,5.947857681545582,5.956733439620919
250000,2,moderate,bursty,6.5204682182983404,6.617168885420433
250000,2,moderate,steady,6.568913143373735,6.517361286868213
250000,4,high,bursty,1135.8789489298833,1127.1350328413696
250000,4,high,steady,5.921993421277036,6.0068235740164955
250000,4,moderate,bursty,6.54105057161441,6.450944878409454
250000,4,moderate,steady,6.601006941257281,6.545614648421486
