segment,first_order,last_order,trials,start,end,min_start_c,max_start_c
1,1,93,93,1790007615.3142097,1790023910.7356925,38.02884615384615,42.91346153846154
2,94,95,2,1790098825.6701572,1790098991.889076,39.43269230769231,39.66346153846154
3,96,99,4,1790150601.977146,1790151216.4520423,42.85576923076923,43.49038461538461
4,100,177,78,1790171120.3868484,1790184410.2700617,37.89423076923077,43.40384615384615
5,178,300,123,1790323963.3676007,1790345049.6724393,40.57692307692308,42.36538461538461
