comparison,workers,load,pattern,ratio,ci_low,ci_high,p,period_us,p_holm_62
bursty / steady,2.0,moderate,,2.168764838802875,0.8111652241012629,5.798499228364958,0.09415433567736409,10000.0,1.0
bursty / steady,4.0,high,,4.69307281253148,1.3859236972767428,15.891879521938915,0.02437496760999984,10000.0,0.7369846675154673
bursty / steady,4.0,moderate,,1.0063348948195046,0.9693361088560525,1.0447458949264956,0.6681678790923474,10000.0,1.0
bursty / steady,1.0,high,,136.87440599407864,129.83985189513976,144.29008307374045,3.596675078807102e-10,50000.0,2.0141380441319773e-08
bursty / steady,1.0,moderate,,0.9953912025179554,0.9851002515964187,1.0057896589148971,0.31983915482436237,50000.0,1.0
bursty / steady,2.0,high,,179.06558928511333,166.47504189391117,192.60836279866197,3.723916679375865e-09,50000.0,2.0109150068629672e-07
bursty / steady,2.0,moderate,,0.985692540912784,0.9786938624939103,0.9927412671571195,0.0046901524565193895,50000.0,0.18291594580425619
bursty / steady,4.0,high,,201.02929299821437,198.37432434902001,203.7197947666838,2.1978751643732102e-12,50000.0,1.318725098623926e-10
bursty / steady,4.0,moderate,,0.9823615180751087,0.9748466143508291,0.9899343527365778,0.0010126232800322084,50000.0,0.043542801041384964
bursty / steady,1.0,high,,136.7320129076014,132.72284060243356,140.8622906871515,1.1483426063826958e-11,100000.0,6.775221377657905e-10
bursty / steady,1.0,moderate,,0.9870665462404655,0.9756834469697753,0.9985824498027617,0.032218452214002664,100000.0,0.8110340625325394
bursty / steady,2.0,high,,354.1942067537652,159.95193875569154,784.3201968907987,3.3098620998630056e-05,100000.0,0.0015556351869356127
bursty / steady,2.0,moderate,,0.9931959456009063,0.9840755781027652,1.0024008402483355,0.12601610256790804,100000.0,1.0
bursty / steady,4.0,high,,719.0143107801055,708.6870983997944,729.4920145631652,7.855176441378363e-19,100000.0,4.870209393654585e-17
bursty / steady,4.0,moderate,,0.9854889456461108,0.9779659881541442,0.9930697731357168,0.003198677542760264,100000.0,0.12794710171041054
bursty / steady,1.0,high,,80.15441345072152,77.66214206476066,82.72666481786936,1.5977110760955266e-10,250000.0,9.106953133744502e-09
bursty / steady,1.0,moderate,,0.987650069291203,0.9772709649703146,0.9981394048686879,0.026687925814700864,250000.0,0.773949848626325
bursty / steady,2.0,high,,121.44344016837088,119.69221836588002,123.22028416955928,5.489309527233997e-14,250000.0,3.348478811612738e-12
bursty / steady,2.0,moderate,,0.9926251232101825,0.9844428070409679,1.000875447695791,0.07310026172139182,250000.0,1.0
bursty / steady,4.0,high,,191.80685761129044,147.56569973537032,249.3118027610288,6.146387366753215e-07,250000.0,3.0117298097090753e-05
bursty / steady,4.0,moderate,,0.9909170873207034,0.9803017069765302,1.001647418295942,0.08436114512605969,250000.0,1.0
