iterations,rate,period_us,quota_us,workers,pattern,burst_low,burst_high,load,trial,run_id,duration_sec,warmup_sec,p99_ms,p50_ms,p95_ms,cpu_usage_cores,throttling_fraction,successful_rps,failed,flags
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,2,p0_w2_moderate_bursty_r2,60,20,6.52536,5.669169,6.251393,0.32268725996327885,,66.59801317370322,0,
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,3,p0_w2_moderate_bursty_r3,60,20,6.487923,5.662742,6.24232,0.3225029554720279,,66.59812380320606,0,
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,4,p0_w2_moderate_bursty_r4,60,20,6.537051,5.689307,6.287686,0.32314434815808496,,66.59812865474305,0,
44000,66.59,0,0,2,bursty,33.295,99.885,moderate,5,p0_w2_moderate_bursty_r5,60,20,6.518068,5.695525,6.292409,0.32295897750007435,,66.5979979209968,0,
44000,66.59,0,0,2,steady,33.295,99.885,moderate,1,p0_w2_moderate_steady_r1,60,20,6.594742,5.829572,6.342928,0.3285204280499693,,66.59967136503164,0,
44000,66.59,0,0,2,steady,33.295,99.885,moderate,2,p0_w2_moderate_steady_r2,60,20,6.571134,5.810114,6.34203,0.327585920066209,,66.59912719068853,0,
44000,66.59,0,0,2,steady,33.295,99.885,moderate,3,p0_w2_moderate_steady_r3,60,20,6.598432,5.820483,6.354877,0.3279508598455775,,66.59950502359874,0,
44000,66.59,0,0,2,steady,33.295,99.885,moderate,4,p0_w2_moderate_steady_r4,60,20,6.57242,5.818863,6.359932,0.3284426158405911,,66.59872217253763,0,
44000,66.59,0,0,2,steady,33.295,99.885,moderate,5,p0_w2_moderate_steady_r5,60,20,6.690504,5.852172,6.429172,0.32965775549703813,,66.59945231274396,0,
44000,113.21,0,0,4,bursty,56.605,169.815,high,1,p0_w4_high_bursty_r1,60,20,6.393737,4.297095,6.121218,0.4467453298217465,,113.2151918274581,0,
44000,113.21,0,0,4,bursty,56.605,169.815,high,2,p0_w4_high_bursty_r2,60,20,6.468132,4.312433,6.154781,0.44851196576565733,,113.21518570637012,0,
44000,113.21,0,0,4,bursty,56.605,169.815,high,3,p0_w4_high_bursty_r3,60,20,6.456076,4.288537,6.152555,0.44744220727263756,,113.21515939739814,0,
44000,113.21,0,0,4,bursty,56.605,169.815,high,4,p0_w4_high_bursty_r4,60,20,6.467261,4.286184,6.188077,0.4469430044151705,,113.21526304459158,0,
44000,113.21,0,0,4,bursty,56.605,169.815,high,5,p0_w4_high_bursty_r5,60,20,6.514327,4.318599,6.20337,0.447594098891747,,113.215439811327,0,
44000,113.21,0,0,4,steady,56.605,169.815,high,1,p0_w4_high_steady_r1,60,20,5.933848,4.998917,5.702372,0.4866831585197203,,113.2158408420196,0,
44000,113.21,0,0,4,steady,56.605,169.815,high,2,p0_w4_high_steady_r2,60,20,5.943378,5.015419,5.717531,0.4882500960036137,,113.21512309167844,0,
44000,113.21,0,0,4,steady,56.605,169.815,high,3,p0_w4_high_steady_r3,60,20,5.949373,4.998506,5.710334,0.4886687509184656,,113.21573186701178,0,
44000,113.21,0,0,4,steady,56.605,169.815,high,4,p0_w4_high_steady_r4,60,20,5.925923,5.005775,5.699874,0.48965057108152177,,113.21478280475831,0,
44000,113.21,0,0,4,steady,56.605,169.815,high,5,p0_w4_high_steady_r5,60,20,5.961615,5.020266,5.718278,0.4891136237308873,,113.21467718665652,0,
44000,66.59,0,0,4,bursty,33.295,99.885,moderate,1,p0_w4_moderate_bursty_r1,60,20,6.520639,5.694489,6.280745,0.3231724085034478,,66.59828282321585,0,
44000,66.59,0,0,4,bursty,33.295,99.885,moderate,2,p0_w4_moderate_bursty_r2,60,20,6.527485,5.66898,6.268258,0.32321037088802446,,66.59738577289939,0,
44000,66.59,0,0,4,bursty,33.295,99.885,moderate,3,p0_w4_moderate_bursty_r3,60,20,6.565423,5.739202,6.352553,0.3242326095868985,,66.59862122983424,0,
44000,66.59,0,0,4,bursty,33.295,99.885,moderate,4,p0_w4_moderate_bursty_r4,60,20,6.430643,5.625541,6.187092,0.32215951202319254,,66.59881568769038,0,
44000,66.59,0,0,4,bursty,33.295,99.885,moderate,5,p0_w4_moderate_bursty_r5,60,20,6.524841,5.699311,6.279441,0.32346040039891183,,66.59861550025197,0,
44000,66.59,0,0,4,steady,33.295,99.885,moderate,1,p0_w4_moderate_steady_r1,60,20,6.614719,5.865781,6.391261,0.33002536636179053,,66.59916379865912,0,
44000,66.59,0,0,4,steady,33.295,99.885,moderate,2,p0_w4_moderate_steady_r2,60,20,6.649824,5.843477,6.374549,0.3290013526367292,,66.59910061799563,0,
44000,66.59,0,0,4,steady,33.295,99.885,moderate,3,p0_w4_moderate_steady_r3,60,20,6.558022,5.800008,6.340334,0.327585350884177,,66.59890048101258,0,
44000,66.59,0,0,4,steady,33.295,99.885,moderate,4,p0_w4_moderate_steady_r4,60,20,6.649241,5.841343,6.38615,0.32848801467479477,,66.59930601081163,0,
44000,66.59,0,0,4,steady,33.295,99.885,moderate,5,p0_w4_moderate_steady_r5,60,20,6.630636,5.820909,6.352911,0.32777771664661765,,66.59962624400751,0,
